Tomas Milian	The Feast of the Goat	2005
Benicio Del Toro	Traffic	2000
Jeanne Moreau	Going Places	1974
Amanda Plummer	You Can Thank Me Later	1998
Stanislas Merhar	In the Shadow of Women	2015
Channing Tatum	She's the Man	2006
Maury Chaykin	Cold Comfort	1989
Yutaka Takenouchi	Oba: The Last Samurai	2011
Bill Clinton	A Wing and a Prayer	2015
Richard Jaeckel	Big Leaguer	1953
Vivica A. Fox	The Cardinal Sin	2019
Lauren Bittner	Saint Janet	2014
David Huddleston	Go for It	1983
Lisa Kudrow	Lucky Numbers	2000
